nombre_invocador,kills_player_kda,deaths_player_kda,assists_player_kda,rol_1,games_per_rol_1,winrate_per_rol_1,rol_2,games_per_rol_2,winrate_per_rol_2,rol_3,games_per_rol_3,winrate_per_rol_3
한국화약 황사장,5.6,4.6,5.0,Top,164,64.0,Mid,10.0,70.0,Support,5.0,20.0
Sandflame,4.7,4.5,6.5,Top,263,54.8,Mid,24.0,58.3,Jungler,10.0,40.0
Draven696969,6.3,5.0,8.4,Jungler,401,55.6,Mid,35.0,40.0,Top,10.0,60.0
DK Lucid,6.9,5.1,6.8,Jungler,250,60.0,AD Carry,58.0,43.1,Top,38.0,44.7
yasuu,5.9,5.0,5.3,Mid,117,62.4,Top,48.0,50.0,AD Carry,2.0,100.0
4321455213123,2.8,4.2,14.3,Support,224,64.7,Mid,15.0,53.3,Jungler,10.0,40.0
LiL TommyG,2.6,5.4,15.3,Support,400,52.8,Mid,18.0,44.4,Top,13.0,53.8
GO toucouille,7.0,5.7,6.7,Mid,269,53.9,AD Carry,24.0,50.0,Top,4.0,25.0
TTV Deadly405,9.1,4.1,5.7,Mid,194,58.2,Jungler,48.0,47.9,Top,7.0,71.4
Ktwo,8.2,3.9,8.2,Jungler,136,60.3,Mid,9.0,77.8,Top,3.0,66.7
INTZ Nia,3.6,6.5,12.7,Support,320,55.6,AD Carry,54.0,61.1,Mid,18.0,33.3
