nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score
Fiinisterra,LAN,Challenger,704,1516,58.5,5.4,4.6,6.9,0.0035145505226721
Cat Ass Trophe,LAS,Challenger,689,1560,57.2,8.4,5.4,7.8,0.0034956631940033
TWlTCH FATURETOO,BR,Challenger,1012,408,53.3,7.4,7.2,7.2,0.0034871607690391
NATAQAQ,EUW,Challenger,851,931,55.0,7.0,5.2,8.4,0.0034789335481357
lara4,LAS,Challenger,610,1965,51.7,7.2,5.9,6.7,0.0034736960404949
undercover bob,EUNE,Challenger,919,679,58.1,7.9,4.9,6.9,0.003442733267114
태리곰곰,KR,Challenger,690,1558,52.6,6.6,5.3,6.5,0.0034402527910902
aviney pig,EUNE,Challenger,611,1959,56.2,8.2,5.3,6.6,0.0034236508024903
aviney pig,EUNE,Challenger,611,1959,56.2,8.2,5.3,6.6,0.003422843676102
viper3,KR,Challenger,1169,170,58.3,7.1,4.8,7.2,0.0034221346908345
viper3,LAS,Challenger,625,1891,58.7,7.1,5.2,8.5,0.0034221346908345
viper3,KR,Challenger,1169,170,58.3,7.1,5.2,8.5,0.0034221346908345
viper3,LAS,Challenger,625,1891,58.7,7.1,4.8,7.2,0.0034221346908345
jusaka,KR,Challenger,742,1358,56.0,6.7,5.4,7.2,0.0034045101139527
viper3,LAS,Challenger,625,1891,58.7,7.1,5.2,8.5,0.0033920956921886
viper3,KR,Challenger,1169,170,58.3,7.1,4.8,7.2,0.0033920956921886
viper3,KR,Challenger,1169,170,58.3,7.1,5.2,8.5,0.0033920956921886
viper3,LAS,Challenger,625,1891,58.7,7.1,4.8,7.2,0.0033920956921886
daoxinwengu1,KR,Challenger,856,908,55.2,6.5,5.4,6.3,0.0033816410718364
DIGWIN,EUW,Challenger,807,1088,55.4,6.3,4.6,6.4,0.0033571899353192
Allen,LAS,Challenger,609,1974,54.1,6.6,5.0,7.2,0.0033438947154685
zedqiyanna JP,JP,Challenger,606,1996,50.9,7.1,5.1,6.6,0.0033171782661528
傲嬌拉克絲小姐姐,TW,Challenger,645,1761,52.7,6.4,5.4,5.8,0.0033153279960808
fix uu,LAN,Challenger,641,1795,56.1,6.7,4.1,7.0,0.0033117354640495
Reivak,LAS,Challenger,608,1981,52.9,4.7,4.0,7.3,0.0033051526750791
Tactical0,EUW,Challenger,903,747,58.6,6.8,4.6,7.4,0.0033030715584061
Yutorimoyashi,JP,Challenger,624,1902,58.6,5.3,6.3,10.6,0.0033000411276564
xJinxBB,TW,Challenger,608,1985,55.8,5.7,3.8,6.5,0.0032947977335888
viper3,LAS,Challenger,625,1891,58.7,7.1,5.2,8.5,0.003287102747092
viper3,LAS,Challenger,625,1891,58.7,7.1,4.8,7.2,0.003287102747092
viper3,KR,Challenger,1169,170,58.3,7.1,5.2,8.5,0.003287102747092
viper3,KR,Challenger,1169,170,58.3,7.1,4.8,7.2,0.003287102747092
How to play adc,TH,Challenger,617,1941,55.4,7.7,5.3,6.9,0.0032846746168684
viper3,KR,Challenger,1169,170,58.3,7.1,5.2,8.5,0.0032698214636949
viper3,KR,Challenger,1169,170,58.3,7.1,4.8,7.2,0.0032698214636949
viper3,LAS,Challenger,625,1891,58.7,7.1,4.8,7.2,0.0032698214636949
viper3,LAS,Challenger,625,1891,58.7,7.1,5.2,8.5,0.0032698214636949
d1sapp01ntment,TR,Challenger,603,2014,53.1,8.7,5.7,6.6,0.0032608312175051
Rye,LAN,Challenger,754,1298,59.6,6.9,4.7,7.3,0.0032138156397184
Anakin390,EUNE,Challenger,620,1919,52.6,7.6,6.1,7.5,0.0032109554442682
Cloud Jr,LAN,Challenger,601,2035,54.7,5.0,4.5,8.3,0.0031873586620848
Mëruem,LAS,Challenger,616,1942,52.7,5.9,4.9,6.5,0.0031837676742303
Docta,LAS,Challenger,598,2057,54.5,6.8,6.3,7.9,0.0031630937667527
yzPingoo,EUNE,Challenger,591,2098,56.3,7.5,5.8,6.5,0.0031609071111169
milan,EUNE,Challenger,859,903,58.3,7.9,4.6,6.8,0.0031583047951775
ないな,JP,Challenger,601,2041,59.8,6.2,4.6,7.1,0.0031317356144996
mig23c,EUW,Challenger,992,481,60.7,7.2,4.1,6.1,0.0031095296362
US MCR,VN,Challenger,601,2039,59.4,7.0,4.3,7.5,0.0030953567291561
Ninomae Ina,LAS,Challenger,601,2031,53.2,6.1,5.2,7.6,0.0030914002789404
으끄으끄,KR,Challenger,702,1523,53.1,7.1,5.5,6.5,0.0030893763809586
MGE Gothboii,LAN,Challenger,815,1056,51.8,6.9,5.1,5.9,0.0030865595457803
GranjeroHumilde,LAS,Challenger,582,2141,54.6,7.4,4.6,7.9,0.0030811012117311
EFFECT1,KR,Challenger,590,2104,53.2,5.8,4.4,6.9,0.003071455962725
I am crying,LAS,Challenger,581,2143,52.4,6.6,5.3,6.5,0.0030704390909959
쪼잔하게 굴거야,KR,Challenger,695,1543,57.0,6.4,4.3,6.5,0.0030540780822323
Faily,LAS,Challenger,578,2161,53.6,5.7,4.6,6.8,0.0030509160979432
