,nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score,Hide on bush,pleroma chronou,Wesley Warren Jr,GOOD GAME GG EZ,Jænsen,dajor25,Percy Magic,M1dLaoBan,Disabled Chattt,boiat nastana
1331,Eyes Of Failure,EUW,GrandMaster,786,2839,54.1,6.2,5.1,6.1,0.00366868198728,0.0004756954699898,0.0004613226539851,0.0003071582960867,0.0003342375989986,0.0005496153327579,0.000507736182292,0.0002883695492594,0.000312878512858,0.0001280170891297,0.0003036513019224
1332,Dynäs,BR,GrandMaster,610,3825,52.6,5.5,5.9,7.1,0.0036601640741641,0.0004605038928764,0.0008253680758484,0.0002749392112354,0.0002119085201569,0.0005742025351711,0.000382960266743,0.000247701380613,0.0002796259758869,0.0001500633699142,0.0002528908457184
1333,JDG kníght,EUW,GrandMaster,580,4152,51.9,5.6,4.3,5.6,0.003655949052805,0.0006059315521686,0.0006716145465015,0.0002602668551941,0.0002107600161812,0.000605806789705,0.0004095824874858,0.0002361750614228,0.0002553228291543,0.0001585337097969,0.0002419552051944
1334,JDG kníght,EUW,GrandMaster,580,4152,51.9,5.6,4.3,5.6,0.003655949052805,0.0006046726518334,0.0006710931367916,0.0002602958339501,0.0002106763809269,0.000605804787512,0.0004094231065214,0.0002361923115349,0.0002553332185657,0.0001585318527965,0.0002419566503482
1335,JDG kníght,EUW,GrandMaster,580,4152,51.9,5.6,4.3,5.6,0.0036539799307811,0.0006059315521686,0.0006716145465015,0.0002602668551941,0.0002107600161812,0.000605806789705,0.0004095824874858,0.0002361750614228,0.0002553228291543,0.0001585337097969,0.0002419552051944
1336,JDG kníght,EUW,GrandMaster,580,4152,51.9,5.6,4.3,5.6,0.0036539799307811,0.0006046726518334,0.0006710931367916,0.0002602958339501,0.0002106763809269,0.000605804787512,0.0004094231065214,0.0002361923115349,0.0002553332185657,0.0001585318527965,0.0002419566503482
1337,Harbo,EUW,GrandMaster,563,4322,54.3,6.9,4.6,6.1,0.0036460398412191,0.0006467974259923,0.0007192101925318,0.0002438300488088,0.0002083665734355,0.0004890142970782,0.000479975757881,0.0002275316378249,0.0002399635044547,0.0001626939936658,0.0002286564095456
1338,Iittle boss,EUW,GrandMaster,559,4363,55.8,8.0,4.3,5.9,0.0036262997110746,0.0007052320447495,0.0006722045985461,0.0002439922167753,0.0002071293421717,0.0005375423938703,0.0004031166596415,0.0002234877624453,0.0002403056493731,0.0001638438852186,0.0002294451582827
1339,Iittle boss,EUW,GrandMaster,559,4363,55.8,8.0,4.3,5.9,0.0036262997110746,0.0007056463307306,0.0006775493196866,0.000243545459366,0.0002069631915748,0.00053282768314,0.0004035453993762,0.0002231558311591,0.0002398614661006,0.0001641541681038,0.0002290375572154
1340,Iittle boss,EUW,GrandMaster,559,4363,55.8,8.0,4.3,5.9,0.0036262864064536,0.0007052320447495,0.0006722045985461,0.0002439922167753,0.0002071293421717,0.0005375423938703,0.0004031166596415,0.0002234877624453,0.0002403056493731,0.0001638438852186,0.0002294451582827
